"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User logs in with incorrect password","LMS service","Tue Aug 26 17:27:10 UTC 2025","broken","Tue Aug 26 17:27:10 UTC 2025","Validate entity","Authentication","",""
"","0","User gets exercises with incorrect course_id","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Validate entity","Exercises","",""
"","0","User updates the course with incorrect course data","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Validate entity","Courses","",""
"","0","User updates the course with correct course_id","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Update entity","Courses","",""
"","0","User creates course with incorrect data","LMS service","Tue Aug 26 17:27:10 UTC 2025","broken","Tue Aug 26 17:27:10 UTC 2025","Validate entity","Courses","",""
"","0","User deletes course with correct course_id","LMS service","Tue Aug 26 17:27:10 UTC 2025","broken","Tue Aug 26 17:27:10 UTC 2025","Delete entity","Courses","",""
"","0","User deletes the file with correct file_id","LMS service","Tue Aug 26 17:27:19 UTC 2025","broken","Tue Aug 26 17:27:19 UTC 2025","Delete entity","Files","",""
"","0","User gets exercises with correct course_id","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Get entities","Exercises","",""
"","4","User creates the profile with incorrect data","LMS service","Tue Aug 26 17:27:19 UTC 2025","broken","Tue Aug 26 17:27:19 UTC 2025","Validate entity","Users","",""
"","0","User creates course with correct data","LMS service","Tue Aug 26 17:27:10 UTC 2025","broken","Tue Aug 26 17:27:10 UTC 2025","Create entity","Courses","",""
"","0","Refresh token with incorrect refresh_token","LMS service","Tue Aug 26 17:27:10 UTC 2025","broken","Tue Aug 26 17:27:10 UTC 2025","Validate entity","Authentication","",""
"","4","User creates the profile with incorrect data","LMS service","Tue Aug 26 17:27:19 UTC 2025","broken","Tue Aug 26 17:27:19 UTC 2025","Validate entity","Users","",""
"","0","User creates the file with incorrect data","LMS service","Tue Aug 26 17:27:19 UTC 2025","broken","Tue Aug 26 17:27:19 UTC 2025","Validate entity","Files","",""
"","0","User updates the profile with incorrect user_id","LMS service","Tue Aug 26 17:27:20 UTC 2025","broken","Tue Aug 26 17:27:20 UTC 2025","Validate entity","Users","",""
"","0","User creates the file with incorrect data","LMS service","Tue Aug 26 17:27:18 UTC 2025","broken","Tue Aug 26 17:27:18 UTC 2025","Validate entity","Files","",""
"","0","User updates the exercise with incorrect data","LMS service","Tue Aug 26 17:27:18 UTC 2025","broken","Tue Aug 26 17:27:18 UTC 2025","Validate entity","Exercises","",""
"","0","User creates the exercise with incorrect data","LMS service","Tue Aug 26 17:27:12 UTC 2025","broken","Tue Aug 26 17:27:12 UTC 2025","Validate entity","Exercises","",""
"","0","User gets the course with correct course_id","LMS service","Tue Aug 26 17:27:10 UTC 2025","broken","Tue Aug 26 17:27:10 UTC 2025","Get entity","Courses","",""
"","0","User creates the exercise with correct course_id","LMS service","Tue Aug 26 17:27:12 UTC 2025","broken","Tue Aug 26 17:27:12 UTC 2025","Create entity","Exercises","",""
"","0","User creates course with incorrect data","LMS service","Tue Aug 26 17:27:09 UTC 2025","broken","Tue Aug 26 17:27:09 UTC 2025","Validate entity","Courses","",""
"","8","User creates the profile with incorrect data","LMS service","Tue Aug 26 17:27:19 UTC 2025","broken","Tue Aug 26 17:27:19 UTC 2025","Validate entity","Users","",""
"","0","User gets all courses with incorrect user_id","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Validate entity","Courses","",""
"","0","User creates the exercise with incorrect data","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Validate entity","Exercises","",""
"","0","User deletes the profile with incorrect user_id","LMS service","Tue Aug 26 17:27:20 UTC 2025","broken","Tue Aug 26 17:27:20 UTC 2025","Validate entity","Users","",""
"","0","User updates the profile with correct user_id","LMS service","Tue Aug 26 17:27:20 UTC 2025","broken","Tue Aug 26 17:27:20 UTC 2025","Update entity","Users","",""
"","0","User creates the exercise with incorrect data","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Validate entity","Exercises","",""
"","0","User deletes the exercise with incorrect exercise_id","LMS service","Tue Aug 26 17:27:11 UTC 2025","broken","Tue Aug 26 17:27:11 UTC 2025","Validate entity","Exercises","",""
