"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS service","0","Users","10","0","Validate entity","0"
"0","LMS service","0","Courses","1","0","Create entity","0"
"0","LMS service","0","Exercises","11","0","Validate entity","0"
"0","LMS service","0","Courses","12","0","Validate entity","0"
"0","LMS service","0","Users","2","0","Get entity","0"
"1","LMS service","0","Authentication","2","0","Validate entity","0"
"0","LMS service","0","Courses","1","0","Get entity","0"
"0","LMS service","0","Users","2","0","Create entity","0"
"0","LMS service","0","Users","1","0","Delete entity","0"
"0","LMS service","0","Courses","1","0","Delete entity","0"
"0","LMS service","0","Authentication","1","0","Login","0"
"0","LMS service","0","Files","4","0","Validate entity","0"
"0","LMS service","0","Exercises","1","0","Create entity","0"
"0","LMS service","0","Exercises","1","0","Get entity","0"
"0","LMS service","0","Users","1","0","Update entity","0"
"0","LMS service","0","Courses","1","0","Get entities","0"
"0","LMS service","0","Courses","1","0","Update entity","0"
"0","LMS service","0","Exercises","1","0","Delete entity","0"
"1","LMS service","0","Authentication","0","0","Refresh","0"
"0","LMS service","0","Exercises","1","0","Update entity","0"
"0","LMS service","0","Files","1","0","Get entity","0"
"0","LMS service","0","Files","1","0","Create entity","0"
"0","LMS service","0","Files","1","0","Delete entity","0"
"0","LMS service","0","Exercises","1","0","Get entities","0"
